Date d'arrivée labo,Civilité,Nom,Prénom,Date de naissance,Âge au 1er janvier 2022,Pays d'origine,Catégorie la plus récente,Statut le plus récent
01/06/2015,Mme,Chartier-Hoarau,Anouk,01/02/1991,30,France,NON PERMANENT,Doctorant
01/01/2004,M,Chartier-Petitjean,Philippe,29/03/1965,56,France,PERMANENT,Professeur
01/11/2015,M,Chauveau,Aimé-Roger,03/02/1998,23,Tunisie,NON PERMANENT,Doctorant
01/11/2010,Mme,Chauveau,Astrid-Marine,05/11/1974,47,France,NON PERMANENT,Ingénieur d'Etudes
01/09/2013,M,Chauveau,Benoît,11/01/2003,18,France,PERMANENT,Maître de Conférences
06/10/2007,M,Chauveau,Lucas,05/12/1995,26,République Arabe Syrienne,NON PERMANENT,Doctorant
15/10/2009,M,Chauvet,Dominique,28/05/1970,51,Maroc,NON PERMANENT,Doctorant
02/09/2011,M,Chauvet,Olivier,12/11/1968,53,Chine,NON PERMANENT,Doctorant
01/07/2008,Mme,Chauvet,Susanne,01/12/1984,37,Algérie,NON PERMANENT,Professeur
14/11/2011,M,Chauvet,Sébastien,29/11/1965,56,Inde,NON PERMANENT,Doctorant
01/10/2005,M,Chauvin,Isaac,03/10/1991,30,--- Inconnu ---,PERMANENT,Directeur de Recherche
01/06/2011,M,Chauvin,Marcel-Jacques,30/09/1966,55,Italie,NON PERMANENT,Ingénieur
01/01/2010,M,Chauvin,Roger,14/04/1998,23,Allemagne,NON PERMANENT,Doctorant
01/01/2004,M,Chauvin-Andre,Antoine,15/05/1983,38,France,PERMANENT,Ingénieur d'Etudes 2ème Classe
01/10/2008,M,Chauvin-Delaunay,Bernard,02/11/1976,45,--- Inconnu ---,NON PERMANENT,Doctorant
01/12/2012,Mme,Chevalier,Aimée,06/11/1989,32,Tunisie,NON PERMANENT,Doctorant
01/10/2015,M,Chevalier,Alexandre,11/11/1971,50,Algérie,NON PERMANENT,Chercheur
01/01/2010,M,Chevalier,Jules-Jacques,28/03/1987,34,France,PERMANENT,Professeur de Classe Exceptionnelle 1
01/09/2019,M,Chevalier,Maurice,08/12/1959,62,Belgique,NON PERMANENT,Doctorant
01/10/2009,M,Chevalier,Thomas,17/07/1979,42,Cameroun,NON PERMANENT,Doctorant
01/09/2011,Mme,Chevallier,Célina,18/11/1970,51,Italie,PERMANENT,Professeur
01/03/2017,M,Chevallier,Daniel,19/03/1994,27,Inde,NON PERMANENT,Doctorant
01/10/2006,M,Chevallier,Georges,11/05/1965,56,France,NON PERMANENT,Doctorant
01/10/2019,M,Chevallier,Honoré,27/05/1988,33,Inde,NON PERMANENT,Ingénieur
01/10/2019,M,Chevallier,Théophile,16/11/2002,19,France,NON PERMANENT,Doctorant
01/10/2019,Mme,Chretien,Charlotte,17/12/2002,19,Fédération de Russie,NON PERMANENT,Post Doctorant
01/01/2004,M,Chretien,Étienne,19/08/1958,63,France,PERMANENT,Maître de Conférences
01/10/2010,M,Clement-Guilbert,Alfred,19/04/1966,55,France,NON PERMANENT,Doctorant
01/06/2011,M,Clement-Herve,Jules,12/05/1988,33,France,NON PERMANENT,Stagiaire
16/01/2008,Mme,Clement-Robin,Alexandrie,24/07/1980,41,--- Inconnu ---,NON PERMANENT,Doctorant
01/01/2004,M,Clement-Tessier,Alfred,15/04/1984,37,France,PERMANENT,Maître de Conférences
01/12/2014,M,Clerc-Begue,Daniel,05/10/1992,29,--- Inconnu ---,NON PERMANENT,Professeur
01/10/2013,Mme,Coevoet,Chantal,03/08/1979,42,Madagascar,NON PERMANENT,Ingénieur
01/01/2004,M,Cohen,Arthur,14/01/1976,45,Algérie,PERMANENT,Professeur de Classe Exceptionnelle 2
01/01/2004,M,Cohen,René,08/06/1992,29,Tunisie,PERMANENT,Maître de Conférences
01/10/2014,M,Colas,Augustin,12/09/1999,22,Belgique,NON PERMANENT,Ingénieur
01/12/2015,M,Colas,Marcel,11/11/1971,50,Yémen,NON PERMANENT,Doctorant
11/09/2008,M,Colas,Marcel,03/09/1958,63,--- Inconnu ---,NON PERMANENT,Post Doctorant
01/10/2001,Mme,Colin,Denise,15/12/1973,48,France,PERMANENT,Maître de Conférences Classe Normale
01/09/2020,Mme,Colin,Luce,09/10/1987,34,France,NON PERMANENT,Doctorant
01/09/2012,M,Colin,Marcel,09/05/1988,33,France,EN DISPONIBILITE,Maître de Conférences
01/11/2017,M,Colin-Garnier,Honoré,20/08/1965,56,Lituanie,NON PERMANENT,Doctorant
02/03/2020,Mme,Collet,Astrid,18/08/1965,56,France,NON PERMANENT,Stagiaire
02/12/2002,M,Collet,Émile-Benjamin,14/03/1962,59,France,PERMANENT,Chargé de Recherche
01/09/2013,M,Collin,Alexandre-Matthieu,18/01/2003,18,France,NON PERMANENT,Attaché Temporaire d'Enseignement et de Recherche
01/10/2007,M,Collin,Gabriel,16/01/1993,28,France,NON PERMANENT,Doctorant
15/10/2013,M,Collin,Gabriel-Thibaut,06/04/1997,24,--- Inconnu ---,NON PERMANENT,Post Doctorant
01/02/2021,M,Collin,Théophile,15/01/1995,26,France,PERMANENT,Chargé de Recherche Classe Normale
01/07/2008,M,Cordier,Dominique,03/10/1993,28,Espagne,NON PERMANENT,Professeur
03/10/2008,M,Cordier,Victor,14/03/1976,45,France,NON PERMANENT,Chargé de Recherche
01/01/2004,Mme,Costa,Aimée,17/01/1960,61,France,PERMANENT,Maître de Conférences Hors Classe Echelon Exceptionnel
01/11/2020,Mme,Costa,Astrid,28/04/1976,45,France,NON PERMANENT,Ingénieur
01/10/2014,Mme,Costa,Jeannine,27/06/1979,42,Algérie,NON PERMANENT,Doctorant
01/01/2008,M,Costa-Costa,Tristan,18/03/1964,57,Algérie,NON PERMANENT,Ingénieur
02/09/2019,Mme,Costa-Humbert,Lucy,13/10/1970,51,France,NON PERMANENT,Post Doctorant
12/06/2007,M,Coste,Charles,29/10/1966,55,France,PERMANENT,Ingénieur
01/10/2021,M,Coste,Gilbert,07/10/1983,38,Liban,NON PERMANENT,Doctorant
01/10/2015,M,Coste,Guy,22/04/1983,38,France,NON PERMANENT,Doctorant
15/10/2010,Mme,Coulon,Céline,15/11/1987,34,Canada,NON PERMANENT,Doctorant
02/12/2002,M,Coulon,Stéphane,16/03/1980,41,France,PERMANENT,Professeur 1ère Classe
26/08/2009,M,Coulon,Xavier,08/09/1959,62,France,NON PERMANENT,Ingénieur de Recherche
01/04/2016,M,Coulon,Yves,13/09/1978,43,Turquie,NON PERMANENT,Post Doctorant
03/02/2020,Mme,Coulon-Boulay,Monique,10/05/1957,64,France,NON PERMANENT,Stagiaire
01/11/2009,M,Courtois,Claude,02/09/1984,37,Inde,NON PERMANENT,Doctorant
01/04/2010,M,Courtois,Honoré,07/12/1963,58,Cameroun,NON PERMANENT,Ingénieur d'Etudes
01/10/2007,M,Courtois,Maurice-Marcel,23/08/1979,42,France,NON PERMANENT,Doctorant
02/10/2017,M,Courtois,Théophile,04/03/2000,21,Chine,NON PERMANENT,Doctorant
01/10/2004,M,Courtois,Yves,18/03/1980,41,--- Inconnu ---,NON PERMANENT,Post Doctorant
04/01/2020,M,Cousin,Emmanuel,31/07/1960,61,France,NON PERMANENT,Chercheur
01/01/2015,Mme,Cousin,Nath,28/11/1963,58,France,PERMANENT,Adjoint technique principal de 2ème classe
12/06/2007,M,Cousin,Thibault-Marcel,16/08/2002,19,France,NON PERMANENT,Ingénieur de Recherche
15/12/1984,M,Cousin,Thierry-Dominique,24/12/1996,25,France,PERMANENT,Ingénieur de Recherche 1ère Classe
15/11/2021,M,Couturier,François-Bernard,05/06/1985,36,France,NON PERMANENT,Ingénieur de Recherche
01/03/2007,M,Couturier,Michel,14/03/1959,62,France,NON PERMANENT,Ingénieur d'Etudes
01/10/2020,M,Couturier,Étienne,26/10/1982,39,--- Inconnu ---,NON PERMANENT,Doctorant
01/11/2009,M,Couturier-Schneider,François,21/09/2003,18,Liban,NON PERMANENT,Doctorant
06/04/2020,Mme,Cyffers,Marianne,19/08/1983,38,France,NON PERMANENT,Doctorant
01/09/2019,Mme,Da,Dorothée,16/05/1982,39,Algérie,NON PERMANENT,Doctorant
01/04/2021,Mme,Da,Élodie,29/01/1969,52,Bolivie,NON PERMANENT,Stagiaire
11/06/2019,M,Da Costa,Michel,08/06/1979,42,Tunisie,NON PERMANENT,Stagiaire
01/01/2004,M,Da Costa,Robert,16/11/1996,25,France,PERMANENT,Maître de Conférences
14/06/2021,M,Da Silva,Alexandre,22/05/1970,51,--- Inconnu ---,NON PERMANENT,Stagiaire
01/10/2012,M,Da Silva,Gilbert,15/09/1998,23,France,NON PERMANENT,Doctorant
20/09/2011,M,Da Silva,Thibault-William,07/11/1973,48,Chine,NON PERMANENT,Chercheur
03/09/2012,M,Da Silva,Yves,29/11/1993,28,Chine,NON PERMANENT,Doctorant
01/09/2013,M,Da Silva,Émile,24/02/1976,45,Liban,NON PERMANENT,Doctorant
02/12/2002,Mme,Daniel,Andrée,26/06/1972,49,France,PERMANENT,Technicien de Classe Normale
01/04/2016,M,Daniel,Maurice,27/11/1958,63,Viet Nam,NON PERMANENT,Doctorant
01/09/2021,Mme,Daniel,Renée,29/11/1994,27,Chine,NON PERMANENT,Doctorant
18/03/2010,M,Daniel,Zacharie,27/03/1969,52,Tunisie,NON PERMANENT,Stagiaire
01/09/2004,M,David,Benoît,28/07/1986,35,France,NON PERMANENT,Doctorant
04/02/2013,M,David,Gilles,01/11/1964,57,Maroc,NON PERMANENT,Stagiaire
01/12/2010,M,David,Grégoire,07/10/1983,38,Maroc,NON PERMANENT,Attaché Temporaire d'Enseignement et de Recherche
01/10/2015,Mme,David,Patricia,16/11/1987,34,France,NON PERMANENT,Chercheur
01/01/2004,Mme,David,Philippine,16/11/1991,30,France,PERMANENT,Maître de Conférences Hors Classe
01/09/2009,M,David,Xavier,24/03/1975,46,France,PERMANENT,Maître de Conférences
13/02/2012,Mme,David,Élodie,19/03/1991,30,Égypte,NON PERMANENT,Doctorant
12/10/2015,M,De Oliveira,Denis,10/09/1960,61,France,NON PERMANENT,Doctorant
01/09/2006,M,De Oliveira,Victor,20/08/1958,63,France,PERMANENT,Professeur de Classe Exceptionnelle 2
01/01/2017,M,De Oliveira,William,31/07/1993,28,Algérie,NON PERMANENT,Doctorant
14/05/2018,Mme,De Sousa,Catherine,01/07/1962,59,Inde,NON PERMANENT,Stagiaire
02/09/2013,M,De Sousa,Denis,07/08/1965,56,Chine,NON PERMANENT,Post Doctorant
01/10/2008,M,De Sousa-Clement,Richard,09/06/1981,40,France,PERMANENT,Chargé de Recherche Classe Normale
21/05/2013,M,Delahaye,Charles,11/11/1993,28,France,NON PERMANENT,Stagiaire
01/02/2010,M,Delahaye,Charles-Alfred,09/12/1992,29,France,NON PERMANENT,Ingénieur d'Etudes
01/01/2004,M,Delahaye,Jacques,20/11/1992,29,France,PERMANENT,Technicien de Classe Supérieure
01/10/2015,M,Delahaye,Olivier,19/05/1973,48,Mexique,NON PERMANENT,Doctorant
01/11/2020,M,Delahaye-Laporte,Jules,12/06/1984,37,France,NON PERMANENT,Doctorant
07/04/2015,M,Delannoy,Stéphane,03/02/1967,54,États-Unis,NON PERMANENT,Maître de Conférences
01/09/2021,M,Delannoy-Gauthier,Robert,03/04/1964,57,Italie,NON PERMANENT,Post Doctorant
01/04/2012,M,Delattre,Philippe,29/01/1980,41,Argentine,NON PERMANENT,Ingénieur
01/09/2007,M,Delattre,Théophile-Gilbert,09/04/1973,48,--- Inconnu ---,NON PERMANENT,Doctorant
28/01/2007,M,Delattre,Timothée,26/11/1978,43,--- Inconnu ---,NON PERMANENT,--- Inconnu ---
14/09/2008,M,Delaunay,Gérard,27/02/1958,63,--- Inconnu ---,NON PERMANENT,Ingénieur de Recherche
01/09/2021,M,Delaunay,Hugues,27/12/1961,60,France,NON PERMANENT,Chercheur
20/10/2010,Mme,Delaunay,Luce,15/06/2003,18,France,NON PERMANENT,Chercheur
01/07/2016,Mme,Delaunay-Bazin,Audrey,04/08/1995,26,France,DETACHEMENT sortant,Technicien de la Recherche
15/03/2019,M,Delmas,François,14/03/1977,44,Bénin,NON PERMANENT,Doctorant
01/11/2017,M,Delmas,Georges,22/11/1971,50,Portugal,NON PERMANENT,Doctorant
01/10/2012,M,Delmas,Louis,09/12/1995,26,Roumanie,NON PERMANENT,Doctorant
01/01/2016,M,Delmas,Olivier-Philippe,08/03/2001,20,Iran,NON PERMANENT,Doctorant
01/09/2014,Mme,Delmas-Baudry,Suzanne,03/01/1981,40,France,DELEGATION entrante,Maître de Conférences Hors Classe
01/10/2004,Mme,Delmas-Lenoir,Célina,25/09/1984,37,--- Inconnu ---,NON PERMANENT,Doctorant
01/10/2014,M,Delorme,Emmanuel,14/07/1966,55,Algérie,NON PERMANENT,Doctorant
04/11/2019,M,Delorme,Théodore-Bertrand,07/05/1992,29,France,NON PERMANENT,Doctorant
01/09/2015,M,Delorme-Albert,Guy,17/03/1962,59,France,NON PERMANENT,Ingénieur d'Etudes
01/04/2021,M,Delorme-Toussaint,Augustin,21/08/1975,46,Viet Nam,NON PERMANENT,Stagiaire
01/04/2011,M,Denis,Daniel-Patrick,05/04/1958,63,France,NON PERMANENT,Doctorant
18/11/2019,M,Denis,Georges-Léon,21/03/1964,57,Tunisie,NON PERMANENT,Doctorant
26/06/2015,M,Denis,Thibaut,20/07/1986,35,Cameroun,NON PERMANENT,Professeur
20/09/2007,Mme,Derrick,Renée,29/10/1997,24,Tunisie,NON PERMANENT,Doctorant
01/12/2010,M,Descamps,Gilbert,03/12/1959,62,France,NON PERMANENT,Ingénieur
01/10/2020,Mme,Descamps,Josette-Isabelle,20/12/1981,40,Liban,NON PERMANENT,Doctorant
01/09/2011,M,Descamps,Philippe,23/12/2003,18,--- Inconnu ---,NON PERMANENT,Post Doctorant
01/03/2017,M,Descamps,Thibaut,28/03/1994,27,Viet Nam,NON PERMANENT,Post Doctorant
03/01/2017,M,Descamps,Étienne,15/09/2002,19,Pakistan,NON PERMANENT,Ingénieur de Recherche
01/09/2014,M,Deschamps,Roland,21/05/1969,52,France,NON PERMANENT,Doctorant
01/06/2016,M,Deschamps,Thomas-Pierre,26/12/1968,53,France,NON PERMANENT,Post Doctorant
01/02/2011,M,Devaux,Benoît,16/02/1988,33,France,NON PERMANENT,Stagiaire
01/10/2020,M,Devaux,Guy,02/01/1977,44,France,NON PERMANENT,Doctorant
01/10/2009,M,Devaux,Hugues,25/02/1959,62,--- Inconnu ---,NON PERMANENT,Doctorant
01/09/2021,Mme,Devaux,Mathilde,30/08/1991,30,Brésil,PERMANENT,Maître de Conférences Classe Normale
01/06/2015,Mme,Devaux,Paulette,26/04/1963,58,Tunisie,NON PERMANENT,Post Doctorant
01/02/2011,M,Devaux,René,15/01/1984,37,Suisse,NON PERMANENT,Doctorant
10/10/2016,Mme,Diallo,Claire,25/01/1998,23,Algérie,NON PERMANENT,Chercheur
01/10/2012,Mme,Diallo,Sophie-Catherine,15/11/1974,47,France,PERMANENT,Technicien de la Recherche
19/11/2015,M,Dias,Denis,17/02/2001,20,États-Unis,NON PERMANENT,Chercheur
25/09/2007,Mme,Dias,Dominique,22/11/1981,40,--- Inconnu ---,NON PERMANENT,Doctorant
03/03/2014,Mme,Dias,Juliette,04/05/1990,31,France,NON PERMANENT,Doctorant
02/12/2002,M,Dias,René,21/12/2000,21,France,PERMANENT,Maître de Conférences Classe Normale
01/10/2018,M,Dias-Pinto,Franck,30/11/1976,45,France,NON PERMANENT,Doctorant
01/09/2010,Mme,Diaz,Josette,09/02/1972,49,France,NON PERMANENT,Doctorant
01/09/2010,M,Diaz-Parent,Émile,19/04/2003,18,France,NON PERMANENT,Doctorant
01/09/2012,M,Didier,Alain,05/11/1991,30,France,PERMANENT,Maître de Conférences
01/11/2018,M,Didier,Gilles,05/09/1967,54,Togo,NON PERMANENT,Doctorant
01/08/2010,M,Didier,Jacques,11/08/1984,37,France,NON PERMANENT,Doctorant
01/10/2013,Mme,Didier,Josette,25/07/1968,53,Liban,NON PERMANENT,Doctorant
01/10/2018,M,Didier,Martin,16/02/2004,17,Chili,NON PERMANENT,Post Doctorant
01/01/2015,Mme,Didier,Michèle,01/09/1961,60,France,ASSOCIE,Maître de Conférences
01/01/2022,M,Didier,Théophile,23/04/1973,48,France,PERMANENT,Chargé de Recherche Classe Normale
06/01/2010,Mme,Didier-Pages,Margaux,06/08/1959,62,Italie,NON PERMANENT,Post Doctorant
01/11/2008,M,Dijoux,Alfred,26/11/1986,35,Belgique,NON PERMANENT,Professeur
26/05/2014,M,Dijoux,Emmanuel,24/04/1990,31,France,NON PERMANENT,Doctorant
02/11/2017,Mme,Dijoux,Lucy,14/04/1960,61,Algérie,NON PERMANENT,Chercheur
01/09/2003,M,Dijoux,Thomas,26/06/1957,64,France,NON PERMANENT,Doctorant
01/09/2013,M,Dijoux,Éric,29/05/1957,64,France,NON PERMANENT,Attaché Temporaire d'Enseignement et de Recherche
01/10/2016,Mme,Dijoux-Chretien,Laurence,30/07/1989,32,France,NON PERMANENT,Doctorant
05/03/2020,Mme,Diouf,Laetitia,08/05/1992,29,Tunisie,NON PERMANENT,Stagiaire
04/04/2019,M,Dos Santos,Gilbert-Zacharie,12/02/1970,51,Indonésie,NON PERMANENT,Stagiaire
01/01/2004,M,Dos Santos,Joseph,25/01/1970,51,France,PERMANENT,Maître de Conférences Classe Normale
01/09/2021,M,Dos Santos,Joseph,29/11/1985,36,France,PERMANENT,Maître de Conférences Classe Normale
01/01/2004,M,Dos Santos,Thibault,15/05/1957,64,France,PERMANENT,Maître de Conférences
01/01/2022,Mme,Dubois,Jeanne,12/08/1994,27,Algérie,NON PERMANENT,Ingénieur
01/06/2017,M,Dubois,Timothée,06/01/1983,38,Liban,NON PERMANENT,Doctorant
01/01/2013,M,Dubois,Xavier,16/05/1964,57,Liban,NON PERMANENT,Doctorant
01/09/2004,Mme,Dubois,Élise,23/04/1960,61,France,PERMANENT,Maître de Conférences
01/01/2004,Mme,Dufour,Amélie,07/03/1975,46,France,NON PERMANENT,Professeur
01/02/2008,M,Dufour,Laurent-Paul,16/04/1966,55,France,PERMANENT,Maître de Conférences
01/10/2005,M,Dufour,Luc,06/10/1969,52,France,NON PERMANENT,Doctorant
01/10/2011,Mme,Duhamel,Marie,29/03/2002,19,France,NON PERMANENT,Attaché Temporaire d'Enseignement et de Recherche
01/10/2017,M,Dumont,Philippe,10/10/2003,18,Iran,NON PERMANENT,Doctorant
01/11/2021,M,Dumont,René,19/07/1971,50,France,NON PERMANENT,Doctorant
01/10/2012,M,Dumont,Richard,28/09/2003,18,Chine,NON PERMANENT,Doctorant
14/10/2009,M,Dumont-Ferreira,Rémy,13/09/1991,30,France,NON PERMANENT,Adjoint Technique de Recherche
01/03/2018,Mme,Dumont-Riou,Alix,18/11/1994,27,France,NON PERMANENT,Ingénieur
04/10/2016,Mme,Dupont,Aurore,03/04/1974,47,Chine,NON PERMANENT,Doctorant
19/12/2008,M,Dupont,Louis,04/12/1961,60,--- Inconnu ---,NON PERMANENT,Post Doctorant
01/12/2013,Mme,Dupont,Valérie,18/01/1963,58,Chine,NON PERMANENT,Doctorant
15/02/2013,Mme,Dupont-Le,Nath,16/12/1998,23,Tunisie,NON PERMANENT,Stagiaire
01/09/2018,M,Dupre,Augustin,08/06/1957,64,France,NON PERMANENT,Doctorant
01/09/2021,Mme,Dupre,Océane,04/03/1999,22,Maroc,PERMANENT,Maître de Conférences Classe Normale
01/10/2012,M,Dupre,Vincent,20/01/1990,31,Roumanie,NON PERMANENT,Doctorant
12/06/2007,M,Dupre-Mallet,Hugues,19/09/2000,21,--- Inconnu ---,NON PERMANENT,Post Doctorant
01/09/2010,M,Dupuis,Alphonse,19/09/1984,37,France,NON PERMANENT,Post Doctorant
01/09/2015,M,Dupuis,Franck-Aimé,15/03/2000,21,--- Inconnu ---,NON PERMANENT,Attaché Temporaire d'Enseignement et de Recherche
01/10/2013,M,Dupuis,Guillaume,03/07/2000,21,Iran,NON PERMANENT,Attaché Temporaire d'Enseignement et de Recherche
01/10/2021,Mme,Dupuis,Marcelle,27/08/1977,44,Liban,NON PERMANENT,Doctorant
01/10/2010,M,Dupuis,René,06/05/1996,25,France,NON PERMANENT,Doctorant
01/10/2018,M,Dupuis,René,20/04/1983,38,France,PERMANENT,Chargé de Recherche 2ème Classe
01/09/2012,Mme,Dupuis,Susanne,25/12/1981,40,Espagne,NON PERMANENT,Post Doctorant
01/09/2012,M,Dupuis-Laurent,Charles,07/03/1968,53,France,PERMANENT,Chargé de Recherche
01/10/2016,M,Dupuis-Pons,Marc,16/05/1995,26,France,NON PERMANENT,Ingénieur d'Etudes
01/11/2015,M,Dupuy,Étienne,09/02/1991,30,France,NON PERMANENT,Post Doctorant
15/09/2014,M,Durand,Guillaume-Aimé,05/05/1963,58,Algérie,NON PERMANENT,Ingénieur d'Etudes
01/10/2006,M,Durand,Hugues,28/05/1962,59,Niger,PERMANENT,Chargé de Recherche
01/01/2004,M,Durand,Joseph,15/12/1983,38,Maroc,PERMANENT,Professeur 2ème Classe
01/09/2001,Mme,Durand,Mathilde,03/09/1998,23,France,PERMANENT,Professeur de Classe Exceptionnelle 2
25/10/2021,Mme,Durand,Nathalie,05/03/1969,52,France,NON PERMANENT,Technicien de la Recherche
01/01/2015,M,Durand,Philippe,16/02/2003,18,--- Inconnu ---,NON PERMANENT,Professeur
01/10/2014,M,Durand,Robert,15/04/1959,62,Liban,NON PERMANENT,Doctorant
16/09/2013,M,Durand,Rémy-Michel,03/04/1984,37,Maroc,NON PERMANENT,Doctorant
01/02/2021,Mme,Durand,Susanne-Susanne,23/02/1958,63,France,PERMANENT,Chargé de Recherche Classe Normale
01/03/2020,Mme,Dutoit,Margaud,13/08/1964,57,Algérie,NON PERMANENT,Stagiaire
01/10/2014,M,Duval,Guy,22/01/1984,37,Brésil,PERMANENT,Chargé de Recherche 2ème Classe
01/03/2013,M,Etienne,Patrick,10/07/1987,34,France,NON PERMANENT,Stagiaire
12/06/2007,M,Etienne,Théophile,09/11/1989,32,--- Inconnu ---,NON PERMANENT,Post Doctorant
01/09/2021,M,Etienne,Édouard,23/05/1968,53,Tunisie,NON PERMANENT,Attaché Temporaire d'Enseignement et de Recherche
01/09/2007,M,Evrard,Alphonse-Thibault,20/06/1983,38,France,NON PERMANENT,Post Doctorant
01/10/2015,Mme,Evrard,Victoire,03/05/1972,49,Liban,NON PERMANENT,Doctorant
01/09/2009,M,Evrard-Breton,Xavier,19/07/1980,41,Côte d'Ivoire,NON PERMANENT,Doctorant
01/04/2016,M,Evrard-Robert,Léon,11/08/1982,39,Argentine,NON PERMANENT,Ingénieur
30/06/2017,M,Fabre,Alain,29/08/1970,51,Thaïlande,NON PERMANENT,Doctorant
01/09/2017,M,Fabre,Arthur,14/02/1998,23,Tunisie,PERMANENT,Maître de Conférences
01/03/2012,M,Fabre,Charles,30/07/2001,20,France,NON PERMANENT,Ingénieur de Recherche
15/04/2016,Mme,Fabre,Marcelle,28/07/1995,26,Tunisie,NON PERMANENT,Stagiaire
01/11/2011,Mme,Fabre,Marie,14/05/1978,43,Tunisie,NON PERMANENT,Doctorant
01/07/2017,M,Fabre-Guibert,Emmanuel,20/03/1990,31,France,NON PERMANENT,Ingénieur d'Etudes
01/09/2007,M,Faivre,Bernard,03/03/1997,24,Tunisie,PERMANENT,Maître de Conférences Classe Normale
02/11/2007,M,Faivre,Hugues-Matthieu,20/01/1992,29,--- Inconnu ---,NON PERMANENT,Post Doctorant
12/10/2016,Mme,Faivre-Roche,Émilie,23/07/1982,39,Thaïlande,NON PERMANENT,Post Doctorant
01/11/2015,M,Faure,Benoît,06/10/1965,56,France,NON PERMANENT,Doctorant
01/10/2019,M,Faure,Gilles-William,10/08/1972,49,Italie,NON PERMANENT,Doctorant
01/12/2011,M,Faure,Roger,05/12/1995,26,Viet Nam,NON PERMANENT,Doctorant
05/09/2016,M,Faure,Timothée,23/06/1985,36,Algérie,NON PERMANENT,Chercheur
01/10/2004,M,Faure-Baudry,Hugues,20/11/1961,60,--- Inconnu ---,NON PERMANENT,Doctorant
01/09/2021,M,Faure-Valette,Édouard,23/05/1970,51,France,NON PERMANENT,Doctorant
01/01/2016,M,Fernandes,Frédéric-Claude,24/09/1960,61,France,NON PERMANENT,Doctorant
01/09/2016,Mme,Fernandes-Pinto,Jeannine,31/01/1982,39,Fédération de Russie,NON PERMANENT,Doctorant
16/04/2018,M,Fernandez,Dominique,13/04/1985,36,France,NON PERMANENT,Ingénieur de Recherche
01/06/2018,M,Fernandez,Emmanuel,29/08/2002,19,France,NON PERMANENT,Post Doctorant
01/09/2006,M,Fernandez,Hugues,04/01/1969,52,France,PERMANENT,Maître de Conférences
01/07/2020,M,Fernandez,Jean,19/08/1991,30,Myanmar,NON PERMANENT,Post Doctorant
01/10/2020,M,Fernandez,Patrick,16/11/1983,38,Belgique,NON PERMANENT,Doctorant
17/05/2021,M,Ferrand,Honoré,02/11/1960,61,France,NON PERMANENT,Stagiaire
01/11/2009,M,Ferrand,Jacques,18/06/1958,63,Égypte,NON PERMANENT,Post Doctorant
01/01/2022,Mme,Ferrand,Lucy-Céline,20/01/1965,56,Maroc,NON PERMANENT,Ingénieur d'Etudes
02/03/2022,M,Ferrand,Zacharie,05/02/1973,48,France,NON PERMANENT,Ingénieur de Recherche
01/07/2008,M,Ferreira,David,23/08/1987,34,--- Inconnu ---,NON PERMANENT,Professeur
01/09/2008,M,Ferreira,Marcel,09/09/1987,34,Canada,PERMANENT,Chargé de Recherche
02/03/2020,M,Ferreira,Tristan,28/11/1973,48,France,NON PERMANENT,Doctorant
01/10/2021,Mme,Ferreira,Élise,28/08/1977,44,France,NON PERMANENT,Doctorant
01/10/2007,M,Ferreira-Le Roux,Pierre,22/07/1973,48,France,NON PERMANENT,Doctorant
12/03/2018,M,Ferreira-Merle,Gilbert,31/08/2001,20,France,NON PERMANENT,Stagiaire
01/07/2012,M,Fischer,David,16/04/1992,29,Espagne,NON PERMANENT,Ingénieur
01/10/2018,M,Fischer,Louis-Aimé,17/02/1992,29,Inde,NON PERMANENT,Post Doctorant
01/10/2017,M,Fischer,Marc,11/04/2002,19,Pakistan,NON PERMANENT,Doctorant
01/09/2009,M,Fischer,Stéphane,30/01/1988,33,France,PERMANENT,Maître de Conférences
14/10/2021,Mme,Fischer-Lagarde,Hélène,24/09/1993,28,Algérie,NON PERMANENT,Doctorant
01/10/2010,Mme,Fischer-Levy,Aurore,31/05/2001,20,Tunisie,NON PERMANENT,Doctorant
01/10/2017,Mme,Fleury,Alex,10/10/1991,30,Tunisie,NON PERMANENT,Doctorant
05/11/2018,Mme,Fleury,Inès,26/08/1989,32,France,NON PERMANENT,Ingénieur d'Etudes
02/11/2019,Mme,Fleury,Océane,27/08/1987,34,Algérie,NON PERMANENT,Stagiaire
01/10/2014,M,Fleury,Victor,07/03/2002,19,France,NON PERMANENT,Doctorant
01/09/2012,Mme,Fontaine,Alexandria,02/07/1973,48,France,NON PERMANENT,Post Doctorant
21/01/2011,M,Fontaine,Daniel,23/03/1983,38,Pakistan,NON PERMANENT,Post Doctorant
04/03/2013,Mme,Fontaine,Paulette,03/06/1962,59,France,NON PERMANENT,Stagiaire
01/10/2015,M,Foucher,Claude,19/05/1992,29,France,NON PERMANENT,Doctorant
01/05/2011,M,Foucher,Olivier,27/10/1964,57,France,NON PERMANENT,Stagiaire
01/11/2019,M,Foucher-Leconte,François,21/12/1986,35,--- Inconnu ---,NON PERMANENT,Ingénieur
28/08/2011,M,Fouquet,Arthur-Guillaume,01/02/2003,18,Argentine,NON PERMANENT,Stagiaire
01/10/2018,M,Fouquet,Eugène,26/06/1993,28,France,NON PERMANENT,Doctorant
